ID,Prediction,Ground Truth
142.png,7.1205,7
160.png,6.2197,7
182.png,5.8516,7
195.png,7.7684,7
22.png,6.7895,7
238.png,6.1924,7
253.png,6.7919,7
273.png,7.021,7
319.png,7.0798,7
39.png,6.1341,7
58.png,5.589,7
61.png,6.4075,7
131.png,7.1205,6.8
196.png,6.9942,6.8
200.png,6.47,6.8
245.png,7.1043,6.8
313.png,7.8475,6.8
327.png,6.1113,6.8
33.png,7.1012,6.8
36.png,7.3846,6.8
73.png,8.1308,6.8
12.png,5.9639,6.6
27.png,6.451,6.6
47.png,6.8252,6.6
85.png,7.579,6.6
14.png,6.4724,6.4
220.png,5.9078,6.4
325.png,6.1989,6.4
41.png,5.4721,6.4
5.png,6.3665,6.4
77.png,4.9385,6.4
103.png,6.2431,6.2
125.png,5.9279,6.2
147.png,6.2431,6.2
151.png,5.9295,6.2
164.png,6.0629,6.2
173.png,5.5387,6.2
181.png,6.1653,6.2
212.png,6.3304,6.2
215.png,4.7773,6.2
218.png,6.3092,6.2
219.png,6.4628,6.2
223.png,6.2337,6.2
234.png,6.2892,6.2
243.png,5.9693,6.2
259.png,7.101,6.2
261.png,5.9691,6.2
280.png,4.0131,6.2
290.png,5.2808,6.2
297.png,6.349,6.2
304.png,6.3965,6.2
310.png,6.001,6.2
40.png,6.4231,6.2
81.png,7.0078,6.2
93.png,6.1801,6.2
95.png,5.7966,6.2
1.png,4.3108,6
113.png,5.9204,6
186.png,6.0629,6
206.png,6.0629,6
236.png,5.2536,6
268.png,6.3471,6
270.png,6.2178,6
281.png,6.001,6
50.png,4.8877,6
72.png,6.0107,6
91.png,6.1861,6
141.png,5.9318,5.8
144.png,5.2842,5.8
145.png,5.8306,5.8
148.png,8.1618,5.8
15.png,5.9312,5.8
17.png,5.7924,5.8
205.png,5.8339,5.8
256.png,6.2337,5.8
321.png,6.2451,5.8
322.png,8.463,5.8
54.png,5.9891,5.8
62.png,6.4861,5.8
97.png,6.0103,5.8
137.png,5.2055,5.6
172.png,6.1745,5.6
225.png,5.2471,5.6
240.png,5.6571,5.6
298.png,4.5797,5.6
155.png,5.5931,5.4
23.png,5.4447,5.4
111.png,4.924,5.2
117.png,3.9202,5.2
119.png,3.7025,5.2
123.png,5.8367,5.2
157.png,5.2538,5.2
184.png,4.2792,5.2
188.png,5.1278,5.2
193.png,5.0993,5.2
203.png,4.1273,5.2
209.png,7.2317,5.2
216.png,3.6421,5.2
265.png,4.5897,5.2
267.png,4.95,5.2
279.png,5.1768,5.2
29.png,4.7569,5.2
305.png,4.4257,5.2
306.png,4.7084,5.2
324.png,5.0642,5.2
52.png,4.7236,5.2
78.png,4.1914,5.2
167.png,6.2581,5
168.png,5.8001,5
18.png,5.1506,5
187.png,5.1078,5
221.png,4.95,5
239.png,4.9499,5
244.png,5.4079,5
316.png,5.0642,5
323.png,5.0642,5
38.png,4.8717,5
43.png,6.3105,5
63.png,5.7913,5
7.png,4.1983,5
98.png,5.241,5
116.png,5.664,4.8
127.png,4.924,4.8
153.png,4.924,4.8
198.png,4.3648,4.8
241.png,4.509,4.8
35.png,5.0642,4.8
80.png,4.9964,4.8
133.png,4.3682,4.6
158.png,4.0495,4.6
210.png,3.2995,4.6
232.png,4.6212,4.6
250.png,4.4711,4.6
277.png,5.3458,4.6
30.png,3.9682,4.6
84.png,4.6396,4.6
94.png,5.2247,4.6
109.png,4.2616,4.4
269.png,4.5105,4.4
57.png,4.3275,4.4
64.png,4.5172,4.4
100.png,3.8914,4.2
115.png,3.9148,4.2
128.png,3.9971,4.2
140.png,4.3457,4.2
152.png,3.8589,4.2
156.png,4.1615,4.2
159.png,4.2247,4.2
170.png,7.2894,4.2
177.png,5.3579,4.2
197.png,4.9015,4.2
230.png,4.3968,4.2
237.png,3.714,4.2
24.png,4.0318,4.2
248.png,4.0319,4.2
249.png,4.2198,4.2
26.png,3.4297,4.2
282.png,3.9796,4.2
291.png,4.7579,4.2
300.png,3.9796,4.2
312.png,3.9646,4.2
59.png,3.8863,4.2
66.png,6.0138,4.2
99.png,3.9889,4.2
121.png,4.2385,4
13.png,3.8726,4
175.png,3.5212,4
189.png,3.8976,4
228.png,4.5515,4
255.png,3.714,4
260.png,3.8707,4
299.png,3.9796,4
46.png,5.2725,4
11.png,3.9148,3.8
120.png,3.8726,3.8
135.png,3.9149,3.8
149.png,3.9148,3.8
161.png,3.9198,3.8
178.png,3.9566,3.8
190.png,3.9198,3.8
207.png,5.178,3.8
252.png,4.0318,3.8
264.png,3.1629,3.8
278.png,3.9796,3.8
289.png,4.0891,3.8
292.png,3.9647,3.8
293.png,3.8959,3.8
320.png,5.1577,3.8
60.png,3.9889,3.8
79.png,3.8683,3.8
87.png,3.8603,3.8
90.png,3.8603,3.8
294.png,3.4823,3.6
169.png,4.0931,3.4
258.png,3.1526,3.4
308.png,3.148,3.4
67.png,3.9651,3.4
104.png,2.9505,3.2
126.png,3.9381,3.2
129.png,2.4371,3.2
139.png,4.3386,3.2
194.png,2.9688,3.2
2.png,3.9944,3.2
213.png,5.3082,3.2
251.png,3.3924,3.2
262.png,2.8608,3.2
330.png,4.813,3.2
143.png,2.8425,3
174.png,3.762,3
179.png,3.8976,3
201.png,2.9688,3
208.png,4.6779,3
211.png,2.9688,3
242.png,4.3124,3
76.png,2.9795,3
88.png,3.7491,3
106.png,2.8425,2.8
138.png,2.8425,2.8
288.png,4.3309,2.8
328.png,3.5104,2.8
37.png,3.0083,2.8
49.png,4.2155,2.8
69.png,3.9233,2.8
9.png,2.9795,2.8
96.png,2.9796,2.8
110.png,2.6614,2.6
185.png,3.9109,2.6
202.png,5.2989,2.6
247.png,2.6301,2.6
307.png,3.1558,2.6
4.png,4.5084,2.6
65.png,3.0041,2.6
199.png,2.9657,2.2
295.png,3.8344,2.2
318.png,3.4662,2.2
102.png,2.8009,2
92.png,2.1437,2
166.png,4.1441,1.8
176.png,3.2502,1.4
75.png,2.4884,1.4
214.png,3.0897,1.2
254.png,1.9983,1.2
